Timestamp,Condition,HeartRate,CognitiveLoad,Attention,leftPupilDialation,rightPupilDialation,collidingObject,AF3,AF4,FP1,FP2,AF7,AF8,
18/07/2022 8:37:46 p.m.:302,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:339,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:395,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:423,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:450,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:473,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:533,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:577,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:612,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:663,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:693,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:730,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:754,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:782,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:818,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:842,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:868,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:906,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:945,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:46 p.m.:980,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:47 p.m.:3,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:47 p.m.:37,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:47 p.m.:69,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:47 p.m.:105,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:47 p.m.:136,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:47 p.m.:171,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:47 p.m.:203,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:47 p.m.:239,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:47 p.m.:276,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
18/07/2022 8:37:47 p.m.:304,CaliberationScene,77,0.5,0.4999999,,,,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,-0.00047677694237791,
