Timestamp,Condition,HeartRate,CognitiveLoad,Attention,leftPupilDialation,rightPupilDialation,collidingObject,AF3,AF4,FP1,FP2,AF7,AF8,
17/07/2022 2:36:00 p.m.:689,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:00 p.m.:731,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:00 p.m.:769,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:00 p.m.:806,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:00 p.m.:842,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:00 p.m.:868,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:00 p.m.:899,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:00 p.m.:927,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:00 p.m.:955,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:00 p.m.:978,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:00 p.m.:999,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:22,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:47,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:68,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:99,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:120,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:141,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:165,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:190,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:213,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:238,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:267,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:300,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:333,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:373,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:401,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:433,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:466,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:510,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:533,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:567,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:602,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:634,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:666,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:700,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:732,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:773,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:799,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:832,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:867,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:909,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:934,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:01 p.m.:968,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:02 p.m.:1,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:02 p.m.:41,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:02 p.m.:67,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:02 p.m.:99,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:02 p.m.:134,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:02 p.m.:169,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:02 p.m.:206,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:02 p.m.:232,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:02 p.m.:266,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:02 p.m.:299,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:02 p.m.:338,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:02 p.m.:363,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:02 p.m.:382,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:02 p.m.:403,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:02 p.m.:425,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:02 p.m.:446,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:02 p.m.:478,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:02 p.m.:500,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:02 p.m.:524,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:02 p.m.:546,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:02 p.m.:572,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:02 p.m.:598,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:02 p.m.:626,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:02 p.m.:647,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:02 p.m.:670,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
17/07/2022 2:36:02 p.m.:690,CaliberationScene,77,0,0.7758794,3.661148,3.069351,teleport_marker_mesh,,,,,,,
