Timestamp,Condition,HeartRate,CognitiveLoad,Attention,leftPupilDialation,rightPupilDialation,collidingObject,AF3,AF4,FP1,FP2,AF7,AF8,
19/07/2022 2:11:32 a.m.:154,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:186,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:215,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:235,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:265,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:288,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:310,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:330,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:351,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:372,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:405,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:434,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:460,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:486,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:526,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:550,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:570,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:595,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:616,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:645,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:664,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:683,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:706,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:727,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:754,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:781,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:801,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:820,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:841,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:861,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:886,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:912,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:934,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:955,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:974,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:32 a.m.:995,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:33 a.m.:19,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:33 a.m.:48,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:33 a.m.:72,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:33 a.m.:93,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:33 a.m.:115,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:33 a.m.:137,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:33 a.m.:159,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:33 a.m.:184,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:33 a.m.:204,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:33 a.m.:225,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:33 a.m.:247,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:33 a.m.:266,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:33 a.m.:288,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:33 a.m.:316,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:33 a.m.:337,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:33 a.m.:358,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:33 a.m.:377,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:33 a.m.:400,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
19/07/2022 2:11:33 a.m.:419,CaliberationScene,77,0,0.4999999,,,FadeQuad,0.5,0.0507976599037647,0.5,0.5,0.5,-0.00047677694237791,
